entrez,symbol
440,ASNS
55586,MIOX
4843,NOS2
23632,CA14
3081,HGD
4047,LSS
5148,PDE6G
535,ATP6V0A1
54,ACP5
496,ATP4B
18,ABAT
65985,AACS
7378,UPP1
847,CAT
64849,SLC13A3
54995,OXSM
483,ATP1B3
29124,LGALS13
8540,AGPS
3101,HK3
9468,PCYT1B
10558,SPTLC1
11309,SLCO2B1
81537,SGPP1
1347,COX7A2
3422,IDI1
6820,SULT2B1
10400,PEMT
6713,SQLE
26002,MOXD1
2203,FBP1
7298,TYMS
5214,PFKP
8833,GMPS
31,ACACA
6652,SORD
4907,NT5E
523,ATP6V1A
112483,SAT2
57194,ATP10A
9162,DGKI
51727,CMPK1
