,GSM997592,GSM997593,GSM997596,GSM997591,GSM997594,GSM997597,GSM997595,GSM997598
1103,4.73940471,4.628943113,4.135658956,4.274000766,4.752454076999999,4.918098705,4.725104741,4.644230219
6559,5.765417577999999,5.27273579,5.095799215,5.389106182000001,6.010563372999999,5.439928134,5.39430679,4.955493155
490,6.795094098,6.937294089,9.698793208,7.685163496,6.594350211,6.657956454,8.713053686,8.27079596
11320,5.7487936820000005,5.970303693,6.872812108,6.7935544000000005,7.352726136,5.209749505,6.17485563,6.821324787999999
79901,10.68551022,9.665738017999999,11.0685433,10.74647013,10.51405151,8.825464131,11.16758308,10.77562453
51109,7.104032042999999,7.749829501000001,9.982258197,7.267281521,8.928654312,7.600072015,9.036211518,9.457823876
224,7.271423847,6.8164911329999995,7.928697572999999,6.952222012000001,8.651260882,6.891015115,8.71734954,8.230553722
8974,6.271330521,5.803202861,7.04188974,5.672865067999999,6.243337295,4.768993333,4.314172838999999,4.335728608999999
37,7.149930992000001,7.94857725,7.121707549,7.191830594,7.093358239,6.522298854,7.041292513999999,7.401949677
949,6.26588309,6.923027146,5.994981411,7.640179762000001,6.112098742000001,6.370957101,6.923976495,7.120770386
5151,5.038937624,5.225139947,8.338954338999999,5.844417711,6.712389493,5.169061376,6.817152323999999,6.531514946000001
8647,4.117326936,4.315483909,4.211236979,4.392024632,4.35913082,4.416013099,4.058196187,3.949259361
5743,3.175344608,3.1742149530000003,3.571174913,3.9774136810000003,5.0158414239999995,4.292236196,4.22199393,3.3789778439999996
6480,6.332974429,6.049901506,6.013002317000001,5.815322045,6.500364342999999,5.606346138999999,6.099510513999999,5.862915038
4905,5.942880595,6.030026446,6.491785564,5.851875402999999,5.981509905,6.3070808220000005,6.2828123289999995,7.012883707
771,7.263544302000001,7.618643362,6.671149787999999,7.261718935,6.996794116,7.929717825,6.69080536,6.679251336
11343,7.748361129,6.583038091000001,8.54711517,6.377991312000001,10.16360094,7.871164469,7.431323067,5.895321619
9187,5.474374147000001,6.0790728320000005,6.272556238,6.2329923670000005,6.531245772,5.460670818,6.528773912,6.608673183
2023,9.487034987000001,8.515755462000001,8.544365786,8.545657318,9.467472993,7.700481077,7.835259641,8.06950262
6557,3.5121703539999998,3.6457239969999997,3.92579411,3.9236283239999996,3.17431257,4.119000111,3.4973566469999997,3.5467017660000004
38,8.240283356,6.526719196,6.682063867999999,7.893635215,7.424325926,5.287155502,8.305716033,7.560271739
5250,9.617520764,8.52309771,10.78348994,9.480486605,10.79544732,8.895184517999999,10.846022300000001,10.48048385
5337,5.575760455,5.319019148,5.569839274,5.371031464,5.256009553,5.366234005,6.507188302,6.472517819
113235,6.703774093,7.451710294,7.431440955,7.279278874,7.289078302999999,7.361410372999999,7.175184498999999,7.202219883
32,8.218283803,9.318601302000001,8.522315807,8.602331989,8.663646474,8.956396443,7.691623213,8.875278645
22978,5.297251835,7.30624623,7.79802791,6.711150139,7.484389842000001,5.250222827,8.56233172,7.8735246189999994
8527,6.846985273,6.43898739,6.601552146,6.884933659,6.689676777000001,6.852753723999999,7.437013459,7.211728697000001
7299,4.342104954,4.688174632,4.425865303,4.536314476,4.739872278,4.464547218,4.217603911,4.85030481
56922,5.44726062,7.018792413,6.361892129,7.376386737000001,6.456258637,6.351989041,7.276725428,7.110549392999999
5289,5.477396918999999,6.104860528,7.125277494,5.90412472,5.573948543999999,3.896662529,6.880075065,6.440385175
8871,8.375653315,7.996040887,7.71301705,8.406192074,8.829081823,7.8602809339999995,7.687364942,8.098348907
108,6.957245447999999,7.402437461,7.086715514,6.837107453,6.959981329,6.271915172000001,7.571345525,7.130035395
6507,4.777966566,5.6216339589999995,5.939870495,6.143718175,7.012584191,4.908524337,5.415511658,6.887080892999999
2222,9.980228666,9.42487835,10.95605508,10.36925704,11.79245714,9.423622172,11.42496988,11.00426585
5050,6.093472052,5.909842905,5.623438383,6.015973974,6.453973415,6.300479307000001,5.6216925689999995,5.497137199
5236,9.542821177999999,8.966167483,8.327872717,9.775327462,10.30639484,7.156053932000001,9.216854596000001,9.848783622000001
26002,5.334841873999999,5.1118194930000005,9.240645741,4.9386647980000005,5.19009346,4.242426217,5.110762671,4.8872793660000005
1638,5.845696985,6.395832919,6.577013944,5.9479270170000005,5.978670137999999,5.27956731,6.253305052999999,5.088118018
50700,5.206177646,4.858089292,4.160821617,4.211255705,5.077987462,4.3771809269999995,3.8507817889999996,4.193252116
1371,5.366264355,5.8292012820000005,5.950876365,6.612161497000001,6.063139779,4.941992303999999,7.134060688,6.809006269
384,5.901567664,5.364084826,5.451538332,4.83506268,5.23774415,5.369171548,5.289312799999999,5.046777528
4036,4.706611286,4.695085566,4.261963723,4.364235099999999,4.282874573,4.605492113,3.988098527,4.314249538
