,GSM997636,GSM997637,GSM997638,GSM997639,GSM997640,GSM997641,GSM997642,GSM997643,GSM997644,GSM997645,GSM997646,GSM997647,GSM997648,GSM997649,GSM997650,GSM997651,GSM997652,GSM997653,GSM997654,GSM997655,GSM997656,GSM997657,GSM997658,GSM997659,GSM997660,GSM997661,GSM997662,GSM997663,GSM997664,GSM997665,GSM997666,GSM997667
10157,4.204643851,4.921145612,3.8201224089999997,4.351625449,3.705935691,4.104742469,4.975177007,3.56640181,3.706006683,4.2527666669999995,3.5437144999999997,3.902407843,3.7506069930000003,4.2887104460000005,3.8523848289999996,5.012341473,3.9835695789999996,3.921601335,4.346643616000001,3.672375485,3.8551097999999997,3.7377220419999997,4.121846198,4.005221209,5.0917698730000005,3.990923937,4.00185722,3.9469750689999996,3.9880929910000003,4.019228979,3.9383510489999995,3.8285439919999997
6482,7.571859217999999,5.218453842,6.593967161,5.604463933,7.401321969,6.304578069,7.341153965,5.354303123999999,7.7964907729999995,7.178037957999999,6.834254701,7.217210507000001,8.771572734,5.014174712,7.802091345,6.742572892999999,7.415228217,6.874163292,5.978620366,5.477350015,6.423433609,6.394514922999999,6.809625272999999,6.20402862,6.2432136,8.500891414,7.214539798,6.698301142,6.651892492999999,6.476448682999999,8.224150352999999,7.285515492999999
7384,10.05894018,9.400072595,9.985798778,7.474500915,10.18632416,8.264212098,11.34395691,9.507252936,10.23279204,8.989869387,9.46543254,10.25697035,9.958214464,9.010547352,11.06757715,10.23022596,10.24430313,8.548733651000001,10.0507038,9.595922713,9.55757565,9.996868355,9.202040975,8.483979785,10.58419389,10.83777365,9.677775927999999,8.60353141,8.943936692000001,8.838738337,8.289763467,8.364701306
6540,6.360901747000001,6.976961121,6.89109105,6.879180900000001,6.636782948,6.807466594,6.607823732000001,6.668690825,7.006260083,6.759688077000001,6.543275846,6.694710695,6.20644138,6.973606791,6.626254445,6.464226576000001,6.08588858,6.918671972,6.498593916,7.007907652999999,6.370789604,6.29204527,6.47481662,7.094001461,6.5096221110000005,5.990401808,6.380259876,6.813892403,6.478230608,6.5096221110000005,6.237247697999999,6.790022077000001
3423,5.269173554,5.172833456,5.3573950660000005,5.349428648,5.294341096,5.197845554,5.570849555,5.053474846,5.537399656,5.1265309210000005,5.288365466,5.082039621,5.2973806439999995,5.5056248960000005,5.385170157,4.892796929,5.204655912,5.43996015,5.422049412000001,5.273437704,5.362479959,5.073902369,5.571759799,5.274496567,5.420201603,5.0226632239999995,5.279211162,5.475572641,5.3064171689999995,5.556437432,5.348890661,4.924579458
6534,5.336240571,5.4550245770000005,5.387856175,5.776859614,5.248558319,5.093365768,4.910714387,5.383646851,5.5671059220000005,5.498146264,5.474468619,5.1222354039999995,5.2509953419999995,5.170574665,5.454318395,5.254114418,5.0975398819999995,5.4334612170000005,5.086320091,5.258995587,5.256473703,5.567941697,5.228602679,5.334926428,5.23831599,5.134925341000001,5.105323495,5.2169660460000005,5.119341058,4.995196116,5.24242775,5.461793652999999
5286,8.091795401,7.867436657000001,8.555653900000001,7.7054135729999995,7.315673852000001,7.334979905,7.669380819,7.740542671,8.118236105,7.162450219,7.968522504,7.614023383999999,7.982623783999999,7.909687595,8.58928089,7.23718561,9.587089562000001,7.681293022,7.812552693,7.431823517000001,7.398784634,7.300377106,8.210964848,7.600184894,8.822867122,7.994480236,7.29588901,7.4178882779999995,8.876560378999999,7.2916394129999995,7.836567748999999,6.760875133
2137,6.412322069,5.7005386620000005,6.04069939,6.013730435,5.395416963,5.332533237,5.5537241360000005,5.773288301,5.781583532000001,5.616449229,5.566464598,5.493710912,6.290042664,5.310611616,5.652027222999999,5.592221851000001,5.721945900000001,5.803053045,5.672060459,6.0378194060000006,5.868662256,5.91630533,5.7187627039999995,5.645732809,6.586364478999999,6.496661306,5.556855112999999,5.408378456,5.932708365,6.272213057999999,5.750282854,6.285341534
60481,9.272612243,8.013744663999999,9.08327857,6.988816656,9.264022492999999,6.863932984,9.565041746,9.247623993,9.81524436,9.90154086,7.291383086000001,8.806583612999999,9.97381403,7.816235546000001,7.727403063,6.528899109,10.2978097,8.647486558999999,8.299814834,6.092846566,9.011322084,8.061166232,9.065028718999999,9.204382099,9.508400841,10.251252800000001,8.669303929,8.107791077,10.08924262,8.121441399,7.190406011,8.591149869
240,8.65291485,5.266646292,5.441588039,7.214009922000001,6.731118261000001,6.690564749,6.8329241210000005,5.742125522,7.0516532089999995,7.104934554,8.320332192,9.318528625,5.441194906000001,4.954569751,7.977694851,5.577853407,5.363847283999999,5.381606891000001,5.1733373689999995,7.11418896,4.550436502,7.546973438999999,5.975920304,6.861004658,3.902615087,9.436379663,5.352394034,6.942948082000001,4.487121481,8.206568907000001,6.363055902999999,6.886762435
