,TCGA-E1-5319,TCGA-CS-6668,TCGA-IK-7675
ENST00000357067,5.87,2.44,14.84
ENST00000587026,0.19,0,0.24
ENST00000568794,0.76,0.32,1.01
ENST00000543770,1.76,0,0.09
ENST00000372428,0,0.68,0
ENST00000357068,1.04,0.37,0.18
ENST00000409229,0.13,0.2,0.19
ENST00000446503,0,0.03,0
ENST00000308191,2.15,2.23,2.51
ENST00000308192,0.04,0.02,0.04
ENST00000505420,0,0,0
ENST00000559935,0.28,0.24,0.38
ENST00000447110,1.11,0.43,1
ENST00000505427,0,0,0
ENST00000530055,0.61,0.68,1.68
ENST00000484100,0,0,0
ENST00000216117,14.7,20.93,23.87
ENST00000290949,63.16,54.06,71.86
ENST00000498338,0,0,0.03
ENST00000574154,0.12,0.05,0
ENST00000369538,0,0,0
ENST00000443964,0.06,0.08,0.49
ENST00000423577,0.32,0.15,0.27
ENST00000523295,0,0,0
ENST00000361703,0,0,0
ENST00000437266,0,0,0.24
ENST00000379846,0,0.53,1.37
ENST00000379847,26.01,17.93,19.59
ENST00000537776,9.07,5.9,24.46
ENST00000379843,0.31,0,0.97
ENST00000415061,0.87,0.98,0.4
ENST00000536308,0,0,0
ENST00000555135,0.14,0.42,0.64
ENST00000360031,3.24,1.2,1.59
ENST00000446997,1.44,0.92,0
ENST00000446996,51.45,12.15,75.29
ENST00000582991,2.86,5.05,7.21
ENST00000515283,0,0,0
ENST00000520262,4.77,0.99,6.45
ENST00000399518,0.07,0.17,0.09
ENST00000452564,0.16,0.68,0.23
ENST00000457083,0,0,0
ENST00000343631,6.89,8.76,4.37
ENST00000583083,0,0,0.41
ENST00000393614,0,0,0.57
ENST00000379158,4.31,2.61,3.54
ENST00000532693,0,0,0
ENST00000379155,0,0,0
ENST00000321453,0.07,0,0.09
ENST00000549143,5.65,4.53,3.14
ENST00000373176,9.8,8.78,6.07
ENST00000389039,0,0,0.07
ENST00000302345,4.86,6.15,8.52
ENST00000389037,0.26,0,0
